time,last_timestamp_in_pcap,opened_connections,closed_connections,stalled_connections,ongoing_connections,avg_duration,bytes_in,pkg_in_0-100,pkg_in_100-200,pkg_in_200-300,pkg_in_300-400,pkg_in_400-500,pkg_in_500-600,pkg_in_600-700,pkg_in_700-800,pkg_in_800-900,pkg_in_900-1000,pkg_in_1000-1100,pkg_in_1100-1200,pkg_in_1200-1300,pkg_in_1300-1400,pkg_in_1400-1500,pkg_in_1500-1600,bytes_out,pkg_out_0-100,pkg_out_100-200,pkg_out_200-300,pkg_out_300-400,pkg_out_400-500,pkg_out_500-600,pkg_out_600-700,pkg_out_700-800,pkg_out_800-900,pkg_out_900-1000,pkg_out_1000-1100,pkg_out_1100-1200,pkg_out_1200-1300,pkg_out_1300-1400,pkg_out_1400-1500,pkg_out_1500-1600,avg_bytes_in,avg_bytes_out,ttl_changes_in,ttl_changes_out
2018-03-20 13:03:53.544374,1520948021.205775,2,0,0,2,0.16977930068969727,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75791.625,229,2,5,0,2,2,2,0,1,1,5,7,43,61,91,0,0.0,1314.0387445887445,0,325
2018-03-20 13:03:53.556316,1520948021.706392,0,0,0,2,0.18170881271362305,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5472.75,16,0,2,2,0,5,1,1,2,1,0,1,1,0,6,0,0.0,1002.1363636363636,0,28
2018-03-20 13:03:53.571634,1520948022.206896,0,0,0,2,0.19702911376953125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6539.75,22,0,0,2,6,0,1,1,1,1,0,2,1,3,8,0,0.0,974.8201058201058,0,36
2018-03-20 13:03:53.583788,1520948022.708713,0,0,0,2,0.20917987823486328,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7402.0,19,1,2,0,1,2,0,0,1,0,3,2,3,2,1,0,0.0,1559.6842105263158,0,20
2018-03-20 13:03:53.600661,1520948023.241161,0,0,0,2,0.22605443000793457,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7854.0,28,1,0,3,0,3,2,1,1,1,1,2,3,1,8,0,0.0,1122.968253968254,0,36
2018-03-20 13:03:53.611792,1520948023.741685,0,0,0,2,0.23718738555908203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5237.125,19,0,0,2,1,0,4,0,1,1,1,2,3,2,0,0,0.0,1163.8055555555557,0,24
2018-03-20 13:03:53.633602,1520948024.242998,0,0,0,2,0.25899696350097656,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11059.0,33,1,0,0,0,1,0,0,2,3,1,8,5,5,9,0,0.0,1231.7291666666667,0,51
2018-03-20 13:03:53.660653,1520948024.743044,0,0,0,2,0.28605103492736816,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14084.5,45,1,1,0,0,0,4,2,1,0,2,13,3,8,8,0,0.0,1280.409090909091,0,66
2018-03-20 13:03:53.679607,1520948025.243284,0,0,0,2,0.30500268936157227,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12064.125,30,1,2,1,2,3,0,0,2,2,3,9,1,2,5,0,0.0,1464.7181818181818,0,46
2018-03-20 13:03:53.690974,1520948025.744304,0,0,0,2,0.31636476516723633,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4155.625,17,0,0,0,0,0,0,0,2,6,5,3,1,0,1,0,0.0,924.9166666666666,0,32
