time,last_timestamp_in_pcap,opened_connections,closed_connections,stalled_connections,ongoing_connections,avg_duration,bytes_in,pkg_in_0-100,pkg_in_100-200,pkg_in_200-300,pkg_in_300-400,pkg_in_400-500,pkg_in_500-600,pkg_in_600-700,pkg_in_700-800,pkg_in_800-900,pkg_in_900-1000,pkg_in_1000-1100,pkg_in_1100-1200,pkg_in_1200-1300,pkg_in_1300-1400,pkg_in_1400-1500,pkg_in_1500-1600,bytes_out,pkg_out_0-100,pkg_out_100-200,pkg_out_200-300,pkg_out_300-400,pkg_out_400-500,pkg_out_500-600,pkg_out_600-700,pkg_out_700-800,pkg_out_800-900,pkg_out_900-1000,pkg_out_1000-1100,pkg_out_1100-1200,pkg_out_1200-1300,pkg_out_1300-1400,pkg_out_1400-1500,pkg_out_1500-1600,avg_bytes_in,avg_bytes_out,ttl_changes_in,ttl_changes_out
2018-03-20 13:04:16.817440,1520948021.212318,2,0,0,2,0.23179924488067627,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77023.25,226,5,2,2,3,0,1,1,0,0,1,2,1,2,408,0,0.0,729.7782782782783,0,654
2018-03-20 13:04:16.834655,1520948021.712932,0,0,0,2,0.24902164936065674,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5671.125,16,0,0,4,0,2,3,3,0,1,1,0,1,1,23,0,0.0,596.9871794871794,0,55
2018-03-20 13:04:16.855517,1520948022.213435,0,0,0,2,0.26988160610198975,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6398.875,22,0,1,0,4,3,0,2,0,2,0,1,1,0,28,0,0.0,608.985049833887,0,64
2018-03-20 13:04:16.876390,1520948022.715111,0,0,0,2,0.29074275493621826,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497.125,19,0,2,1,1,0,2,2,0,1,0,2,0,4,32,0,0.0,641.0104166666666,0,66
2018-03-20 13:04:16.900507,1520948023.247707,0,0,0,2,0.3148609399795532,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8285.5,27,3,0,1,2,0,2,2,1,1,1,1,0,4,35,0,0.0,638.6205450733752,0,80
2018-03-20 13:04:16.919174,1520948023.74822,0,0,0,2,0.33352577686309814,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5423.375,18,1,0,0,2,1,1,4,0,2,0,1,2,3,19,0,0.0,615.5972222222222,0,54
2018-03-20 13:04:16.950528,1520948024.249455,0,0,0,2,0.36488163471221924,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10902.75,32,2,0,0,0,1,0,0,2,1,1,2,2,9,44,0,0.0,694.703125,0,96
2018-03-20 13:04:16.990092,1520948024.749563,0,0,0,2,0.4044450521469116,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13983.75,46,1,1,0,0,0,4,2,1,0,1,0,1,15,56,0,0.0,678.7554112554112,0,128
2018-03-20 13:04:17.022647,1520948025.249801,0,0,0,2,0.4370006322860718,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13062.125,30,0,2,2,1,1,1,2,2,0,1,2,1,7,57,0,0.0,677.7481012658228,0,109
2018-03-20 13:04:17.035015,1520948025.750774,0,0,0,2,0.4493650197982788,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3862.875,17,0,0,0,0,0,0,0,2,5,5,1,1,1,10,0,0.0,626.38,0,42
2018-03-20 13:04:17.056616,1520948026.251229,0,0,0,2,0.4709676504135132,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7109.125,27,0,0,0,0,0,1,0,3,2,4,3,3,3,24,0,0.0,671.3191214470285,0,70
